mesh_term;aop_level
Calcimycin;Unassigned
Temefos;Unassigned
Abdomen;Unassigned
Abdomen, Acute;Unassigned
Abdominal Injuries;Unassigned
Abdominal Neoplasms;Unassigned
Abdominal Muscles;Unassigned
Abducens Nerve;Unassigned
Abetalipoproteinemia;Unassigned
Congenital Abnormalities;Unassigned
Abnormalities, Drug-Induced;Unassigned
Abnormalities, Multiple;Unassigned
Abnormalities, Radiation-Induced;Unassigned
ABO Blood-Group System;Unassigned
Abomasum;Unassigned
Abortifacient Agents;Unassigned
Abortifacient Agents, Nonsteroidal;Unassigned
Abortifacient Agents, Steroidal;Unassigned
Abortion, Spontaneous;Unassigned
Abortion, Habitual;Unassigned
Abortion, Incomplete;Unassigned
Abortion, Missed;Unassigned
Abortion, Septic;Unassigned
Abortion, Threatened;Unassigned
Abortion, Veterinary;Unassigned
Abrin;Unassigned
Abruptio Placentae;Unassigned
Abscess;Unassigned
Peritonsillar Abscess;Unassigned
Abscisic Acid;Unassigned
Absorption;Unassigned
Acanthocytes;Unassigned
Acantholysis;Unassigned
Acanthosis Nigricans;Unassigned
Acceleration;Unassigned
Accessory Nerve;Unassigned
Acclimatization;Unassigned
Accommodation, Ocular;Unassigned
Acebutolol;Unassigned
Acedapsone;Unassigned
Acenaphthenes;Unassigned
Acenocoumarol;Unassigned
Acepromazine;Unassigned
Acetabulum;Unassigned
Acetaldehyde;Unassigned
Acetals;Unassigned
Acetamides;Unassigned
Acetaminophen;Unassigned
Acetanilides;Unassigned
Acetate Kinase;Unassigned
Acetates;Unassigned
Acetazolamide;Unassigned
Acetic Anhydrides;Unassigned
Acetoacetates;Unassigned
Acetohexamide;Unassigned
Acetoin;Unassigned
Acetoin Dehydrogenase;Unassigned
Acetolactate Synthase;Unassigned
Acetone;Unassigned
Acetonitriles;Unassigned
Acetophenones;Unassigned
Acetoxyacetylaminofluorene;Unassigned
Acetrizoic Acid;Unassigned
Acetyl-CoA C-Acetyltransferase;Unassigned
Acetyl-CoA C-Acyltransferase;Unassigned
Acetyl-CoA Carboxylase;Unassigned
Acetyl-CoA Hydrolase;Unassigned
Acetyl Coenzyme A;Unassigned
Acetate-CoA Ligase;Unassigned
Acetylation;Unassigned
Acetylcarnitine;Unassigned
Acetylcholine;Unassigned
Acetylcholinesterase;Unassigned
Acetylcysteine;Unassigned
Acetyldigitoxins;Unassigned
Acetyldigoxins;Unassigned
Acetylene;Unassigned
Acetylesterase;Unassigned
Acetylgalactosamine;Unassigned
Acetylglucosamine;Unassigned
Acetylglucosaminidase;Unassigned
Acetylmuramyl-Alanyl-Isoglutamine;Unassigned
Acecainide;Unassigned
Acetylserotonin O-Methyltransferase;Unassigned
Acetylthiocholine;Unassigned
Acetyltransferases;Unassigned
Achilles Tendon;Unassigned
Achlorhydria;Unassigned
Achondroplasia;Unassigned
Acid Phosphatase;Unassigned
Acid-Base Equilibrium;Unassigned
Acid-Base Imbalance;Unassigned
Acidosis;Unassigned
Acidosis, Lactic;Unassigned
Acidosis, Renal Tubular;Unassigned
Acidosis, Respiratory;Unassigned
Acids;Unassigned
Acids, Acyclic;Unassigned
Acids, Aldehydic;Unassigned
Acids, Carbocyclic;Unassigned
Acids, Heterocyclic;Unassigned
Acids, Noncarboxylic;Unassigned
Acidulated Phosphate Fluoride;Unassigned
Acinetobacter Infections;Unassigned
Acne Vulgaris;Unassigned
Acne Keloid;Unassigned
Aconitate Hydratase;Unassigned
Aconitic Acid;Unassigned
Aconitine;Unassigned
Vestibulocochlear Nerve;Unassigned
Vestibulocochlear Nerve Diseases;Unassigned
Acquired Immunodeficiency Syndrome;Unassigned
Acridine Orange;Unassigned
