Raw_Reference;PMID
Ade, N., Leon, F., Pallardy, M., Pfeiffer, J.L., Kerdine-Romer, S., Tissier, M.H., Bonnet, P.A., Fabre, I., and Ourlin, J.C. 2009. HMOX1 and NQO1 genes are upregulated in response to contact sensitizers in dendritic cells and THP-1 cell line: role of the Keap1/Nrf2 pathway. Toxicol. Sci. 107: 451-460.;19033392
Ade, N., Martinozzi-Teissier, S., Pallaardy, M. and Rousset, F. 2006. Activation of U937 cells by contact sensitizers: CD86 expression is independent of apoptosis. J. Immunotoxicol. 3: 189-197.;18958700
Adler, S., Basketter,D., Creton, s. Pelkonen, O., van Benthem, J., Zuang, V., Ejner-Andersen, K., AngersLoustau A., Aptula, A. Bal-Price, A., Benfenati, E. Bernauer, U., Bessems, J. Bois. F.Y., Boobis, A. Brandon, E., Bremer, S., Broschard, T. Casati, S. Coecke, S. Corvi, R., Cronin, M., Daston, G., Dekant, W., Felter, S., Grignard, E., Gundert-Remy, U., Heinonen, T., Kimber, I., Kleinjans, J.,Komulainen, H., Kreiling, R., Kreysa, J., Batista Leite, S., Loizou, G., Maxwell, G., Mazzatorta, P. Munn, S., Pfuhler, S., Phrakonkham, P., Piersma, A., Poth, A., Prieto, P., Repetto, G., Rogiers, V., Schoeters, G., Schwarz, M., Serafimova, R., Tahti, H., Testai, E., van Delft, J. van Loveren, H., Vinken, M., Worth, A. and Zaldivar, J.-M. 2011. Alternative (non-animal) methods for cosmetics testing: current status and future prospects-2010. Arch. Toxicol. 85: 367-485.;21533817
"Aeby, P., Ashikaga, T., Bessou-Touya, S. Schapky, A., Geberick, F., Kern, P., Marrec-Fairley, M., Maxwell, G., Ovigne, J.-M., Sakaguchi, H., Reisinger, K., Tailhardat, M., Martinozzi-Teisser, S. and Winkler, P. 2010. Identifying and characterizing chemical skin sensitizers without animal testing; Colipa’s research and methods development program. Toxicol. In Vitro 24: 1465-1473.";20624454
Aleksic, M., Thain, E., Roger, D., Saib, O., Davies, M., Li, J., Aptula, A., and Zazzeroni, R. 2009. Reactivity profiling: Covalent modification of single nucleophile peptides for skin sensitization risk assessment. Toxicol. Sci. 108: 401-411.;19221146
Andersen, M.E. and Krewski, D. 2009. Toxicity testing in the 21st century: bringing the vision to life. Toxicol. Sci. 107: 324-330.;19074763
Antonopoulos, C., Cumberbatch, M., Mee, J.B., Dearman, R.J., Wei, X.Q., Liew, F.Y., Kimber, I. and Groves, R.W. 2008. IL-18 is a key proximal mediator of contact hypersensitivity and allergeninduced Langerhans cell migration in murine epidermis. J. Leukoc. Biol. 83: 361-367.;17984289
Api, A.M., Basketter, D.A., Cadby, P.A., Cano, M.-F., Ellis, G., Gerberick, G.F., Griem, P., McNamee, P.M., Ryan, C.A. and Safford, B. 2008. Dermal sensitisation quantitative risk assessment (QRA) for fragrance ingredients. Reg. Toxicol. Pharmcol. 52: 3-23.;18406028
Aptula, A.O. and Roberts, D.W. 2006. Mechanistic applicability domain for non-animal based predictions of toxicological endpoints. Chem. Res. Toxicol. 18: 1420-1426.;16978028
Aptula, A.O., Roberts, D.W., Patlewicz, G. and Schultz, T.W. 2006. Non-enzymatic glutathione reactivity and in vitro toxicity: A non-animal approach to skin sensitisation. Toxicol. In Vitro 20: 239-247.;16112535
Ashikaga, T., Sakaguchi, H., Sono, S., Kosaka, N., Ishikawa, M., Nukada, Y., Miyazawa, M., Ito, Y., Nishiyama, N. and Itagaki, H. 2010. A comparative evaluation of in vitro skin sensitisation tests: the human cell-line activation test (h-CLAT) versus the local lymph node assay (LLNA). Altern. Lab. Anim. 38:275-84.;20822320
Ball, N., Cagen, S., Carrillo, J-C., Certa, H., Eigler, D., Emter, R., Faulhammer, F., Garcia, C., Graham, C., Haux, C., Kolle, S.N., Kreiling, R., Natsch, A., Mehling, A. 2011. Evaluating the sensitization potential of surfactants: Integrating data from the local lymph node assay, guinea pig maximizationtest, and in vitro methods in a weight-of-evidence approach, Reg. Toxicol. Pharmacol., doi: 10.1016/j.yrtph.2011.05.007;21645576
Bajot, F. Schultz, T.W., Maleka, F. and Roberts, D.W. 2011. Experimental reactivity parameters for preMichael acceptors. SAR QSAR Environ. Res. 22: 51-65.;21391141
Banks, P.R. and Paquette, D.M. 1995. Comparison of three common amine reactive fluorescent probes using for conjugation to biomolecules by capillary zone electrophoresis. Bioconjug. Chem. 6: 447-458.;7578365
Basketter, D.A., Gerberick, G.F., Kimber, I. and Loveless, S.E. 1996. The local lymph node assay: a viable alternative to currently accepted skin sensitisation tests. Food Chem. Toxicol. 34: 985-997.;9012775
Basketter, D.A. and Kimber, I. 2009. Updating the skin sensitisation in vitro data assessment paradigm in 2009. J. Appl. Toxicol. 29: 545-550.;19484705
Basketter, D.A. and Kimber, I. 2010. Contact hypersensitivity. In: McQueen, C.A. (ed) Comparative Toxicology Vol. 5, 2nd Ed. Elsevier, Kidlington, UK, pp. 397-411.;NOT_FOUND
Basketter, D.A., Lea, L.J., Cooper, K.J., Dickens, A., Stocks, J., Pate, I. 1999. Thresholds for classification as a skin sensitiser in the local lymph node assay: a statistical evaluation. Food Chem. Toxicol. 37:1167-1174.;10654593
Basketter, D.A., McFadden, J.F., Gerberick, F., Cochshott, A. and Kimber, I. 2009. Nothing is perfect, not even the local lymph node assay: a commentary and the implications for REACH. Contact Dermatitis 60: 65-69.;19207375
Basketter, D.A., Pease, C., Kasting, G., Kimber, I., Casti, S., Cronin, M.T.D., Diembeck, W., Gerberick, F., Hadgraft, J., Hartung, J., Marty, J.P., Nikolaidis, E., Patelewicz, G., Roberts, D.W., Roggen, E., Rovida, C. and van de Sandt, J. 2007. Skin sensitisation and epidermal disposition: The relevance of epidermal disposition for sensitisation hazard identification and risk assessment. The report of ECVAM workshop 59. Altern. Lab. Anim. 35: 137-154.;17411362
Bauch, C., Kolle, S.N., Fabian, E., Pachel, C., Ramirez, T., Wiench, B., Wruck, C.J., van Ravenzwaay, B. and Landsiedal, R. 2011. Intralaboratory validation of four in vitro assays for prediction of skin sensitizing potential of chemicals. Toxicol. In Vitro 25: 1162-1168.;21669280
Bergström, M.A., Ott, H., Carlsson, A., Neis, M., Zwadlo-Klarwasser, G., Jonsson, C.A.M., Merk, H.F., Karlberg, A.-T. and Baron, J.M. 2007. A skin-like cytochrome P450 cocktail activates prohaptens to contact allergenic metabolites. J. Invest. Derm. 127: 1145-1153.;17124504
Borrebaeck ,C.A. and Wingren, C. 2009. Design of high-density antibody microarrays for disease proteomics: key technological issues. J. Proteomics 72: 928-935.;19457338
Böhme, A., Thaens, D., Paschke, A. and Schüürmann, G. 2009. Kinetic glutathione chemoassay to quantify thiol reactivity of organic electrophiles – Application to α, β-unsaturated ketones, acrylates, and propiolates, Chem. Res. Toxicol. 22: 742-750.;19317512
Boobis, A.R., Doe, J.E., Heinrich-Hirsch, B., Meek, M.E., Munn, S., Ruchirawat, M., Schlatter, J., Seed, J. and Vickers, C. 2008. IPCS framework for analyzing the relevance of the non-cancer mode of action for humans. Crit. Rev. Toxicol. 38: 87-96.;18259981
Bos, J.D. and Meinardi, M.M.H.M. 2000. The 500 Dalton rule for the skin penetration of chemical compounds and drugs. Exp. Dermatol. 9: 165-169.;10839713
Buehler, E.V. 1965. Delayed hypersensitivity in the guinea pig. Arch. Dermatol. 91: 171-177.;14237604
Buist, H.E., Schaafsma, G. and van de Sandt, J.J.M. 2009. Relative absorption and dermal loading of chemical substances: Consequences for risk assessment. Reg. Tox. Pharm. 54: 221-228.;19393281
Corsini, E., Mitjans, M., Galbiati, V., Lucchi, L., Galli, C.L. and Marinovich, M. 2009. Use of IL-18 production in a human keratinocyte cell line to discriminate contact sensitizers from irritants and low molecular weight respiratory allergens. Toxicol. In Vitro 23: 769-796.;19397996
"Diderich, R. 2010. Tools for category formation and read-across. Overview of the OECD (Q)SAR Application Toolbox. In; Cronin, M.T.D. and Madden, J.C. (eds.) In Silico Toxicology: Principles and Applications. RSC Publishing, Cambridge, United Kingdom. pp. 385-407.";NOT_FOUND
Dimitrov, S.D., Low, L.K., Patlewicz, G. Kern, P.S., Dimitrova, G.D., Comber, M.I.H., Aptula, A.O., Phillips, R.D., Niemelä, J,. Bailey, P.T. and Mekenyan, O.G. 2005. Skin sensitisation: Modeling based on skin metabolism simulation and formation of protein conjugates. Int. J. Toxicol. 24: 189- 204.;16126613
Dinkova-Kostova, A.T., Holtzclaw, W.D. and Kensler, T.W. 2005. The role of Keap1 in cellular protective responses. Chem. Res. Toxicol. 18: 1779-1791.;16359168
dos Santos, G.G., Reinders, J., Ouwhand, K., Rustemeyer, T., Scheper, R.J. and Gibbs, S. 2009. Progress on the development of human in vitro dendritic cell based assays for assessment of skin sensitizing potential of compounds. Toxicol. Appl. Pharmacol. 236: 372-382.;19232364
European Centre for Ecotoxicological and Toxicological Chemicals (ECETOC) 2010. High information content technologies in support of read-across in chemical risk assessment. Technical Report No. 109. p 87.;NOT_FOUND
Emter R., Ellis, G. and Natsch, A. 2010. Performance of a novel keratinocyte-based reporter cell line in screen skin sensitizers in vitro. Toxicol. Appl. Pharmacol. 245: 281-290.;20307559
